condition,class,precision,recall,f1,support,delta_f1
original,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
original,Favor,0.7572815533980582,0.6638297872340425,0.7074829931972789,235.0,0.0
original,Neither,0.6405529953917051,0.6465116279069767,0.6435185185185185,215.0,0.0
target_masked,Against,0.7975206611570248,0.8772727272727273,0.8354978354978355,440.0,-0.017864898791028816
target_masked,Favor,0.782608695652174,0.6127659574468085,0.6873508353221957,235.0,-0.020132157875083267
target_masked,Neither,0.6216216216216216,0.641860465116279,0.631578947368421,215.0,-0.011939571150097472
candidate_mentions_masked,Against,0.8486352357320099,0.7772727272727272,0.8113879003558719,440.0,-0.041974833932992395
candidate_mentions_masked,Favor,0.9344262295081968,0.2425531914893617,0.38513513513513514,235.0,-0.3223478580621438
candidate_mentions_masked,Neither,0.4295774647887324,0.8511627906976744,0.5709828393135725,215.0,-0.07253567920494597
lexical_cues_top10_masked,Against,0.8283261802575107,0.8772727272727273,0.8520971302428256,440.0,-0.0012656040460387041
lexical_cues_top10_masked,Favor,0.7560975609756098,0.6595744680851063,0.7045454545454546,235.0,-0.002937538651824334
lexical_cues_top10_masked,Neither,0.634703196347032,0.6465116279069767,0.6405529953917051,215.0,-0.0029655231268134186
lexical_cues_top25_masked,Against,0.8283261802575107,0.8772727272727273,0.8520971302428256,440.0,-0.0012656040460387041
lexical_cues_top25_masked,Favor,0.7549019607843137,0.6553191489361702,0.7015945330296127,235.0,-0.0058884601676661985
lexical_cues_top25_masked,Neither,0.6318181818181818,0.6465116279069767,0.639080459770115,215.0,-0.004438058748403528
candidate_mentions_control_seed1,Against,0.8272921108742004,0.8818181818181818,0.8536853685368537,440.0,0.0003226342479893951
candidate_mentions_control_seed1,Favor,0.7512437810945274,0.6425531914893617,0.6926605504587156,235.0,-0.014822442738563368
candidate_mentions_control_seed1,Neither,0.6363636363636364,0.6511627906976745,0.6436781609195402,215.0,0.00015964240102173122
lexical_cues_top10_control_seed1,Against,0.8272921108742004,0.8818181818181818,0.8536853685368537,440.0,0.0003226342479893951
lexical_cues_top10_control_seed1,Favor,0.7586206896551724,0.6553191489361702,0.7031963470319634,235.0,-0.004286646165315489
lexical_cues_top10_control_seed1,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
lexical_cues_top25_control_seed1,Against,0.8272921108742004,0.8818181818181818,0.8536853685368537,440.0,0.0003226342479893951
lexical_cues_top25_control_seed1,Favor,0.7536945812807881,0.6510638297872341,0.6986301369863014,235.0,-0.008852856210977533
lexical_cues_top25_control_seed1,Neither,0.6330275229357798,0.641860465116279,0.6374133949191686,215.0,-0.006105123599349893
candidate_mentions_control_seed2,Against,0.8269230769230769,0.8795454545454545,0.8524229074889867,440.0,-0.0009398267998775856
candidate_mentions_control_seed2,Favor,0.7475247524752475,0.6425531914893617,0.6910755148741419,235.0,-0.016407478323137048
candidate_mentions_control_seed2,Neither,0.6363636363636364,0.6511627906976745,0.6436781609195402,215.0,0.00015964240102173122
lexical_cues_top10_control_seed2,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
lexical_cues_top10_control_seed2,Favor,0.7560975609756098,0.6595744680851063,0.7045454545454546,235.0,-0.002937538651824334
lexical_cues_top10_control_seed2,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
lexical_cues_top25_control_seed2,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
lexical_cues_top25_control_seed2,Favor,0.7549019607843137,0.6553191489361702,0.7015945330296127,235.0,-0.0058884601676661985
lexical_cues_top25_control_seed2,Neither,0.634703196347032,0.6465116279069767,0.6405529953917051,215.0,-0.0029655231268134186
candidate_mentions_control_seed3,Against,0.8304721030042919,0.8795454545454545,0.8543046357615894,440.0,0.000941901472725104
candidate_mentions_control_seed3,Favor,0.7560975609756098,0.6595744680851063,0.7045454545454546,235.0,-0.002937538651824334
candidate_mentions_control_seed3,Neither,0.6438356164383562,0.6558139534883721,0.6497695852534562,215.0,0.006251066734937694
lexical_cues_top10_control_seed3,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
lexical_cues_top10_control_seed3,Favor,0.7560975609756098,0.6595744680851063,0.7045454545454546,235.0,-0.002937538651824334
lexical_cues_top10_control_seed3,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
lexical_cues_top25_control_seed3,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
lexical_cues_top25_control_seed3,Favor,0.7536945812807881,0.6510638297872341,0.6986301369863014,235.0,-0.008852856210977533
lexical_cues_top25_control_seed3,Neither,0.6318181818181818,0.6465116279069767,0.639080459770115,215.0,-0.004438058748403528
candidate_mentions_control_seed4,Against,0.8344086021505376,0.8818181818181818,0.8574585635359117,440.0,0.004095829247047322
candidate_mentions_control_seed4,Favor,0.7463414634146341,0.6510638297872341,0.6954545454545454,235.0,-0.012028447742733483
candidate_mentions_control_seed4,Neither,0.6454545454545455,0.6604651162790698,0.6528735632183909,215.0,0.009355044699872361
lexical_cues_top10_control_seed4,Against,0.8269230769230769,0.8795454545454545,0.8524229074889867,440.0,-0.0009398267998775856
lexical_cues_top10_control_seed4,Favor,0.7549019607843137,0.6553191489361702,0.7015945330296127,235.0,-0.0058884601676661985
lexical_cues_top10_control_seed4,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
lexical_cues_top25_control_seed4,Against,0.8290598290598291,0.8818181818181818,0.8546255506607929,440.0,0.001262816371928599
lexical_cues_top25_control_seed4,Favor,0.7536945812807881,0.6510638297872341,0.6986301369863014,235.0,-0.008852856210977533
lexical_cues_top25_control_seed4,Neither,0.634703196347032,0.6465116279069767,0.6405529953917051,215.0,-0.0029655231268134186
candidate_mentions_control_seed5,Against,0.8301075268817204,0.8772727272727273,0.8530386740331491,440.0,-0.00032406025571518615
candidate_mentions_control_seed5,Favor,0.7463414634146341,0.6510638297872341,0.6954545454545454,235.0,-0.012028447742733483
candidate_mentions_control_seed5,Neither,0.6363636363636364,0.6511627906976745,0.6436781609195402,215.0,0.00015964240102173122
lexical_cues_top10_control_seed5,Against,0.828693790149893,0.8795454545454545,0.8533627342888643,440.0,0.0
lexical_cues_top10_control_seed5,Favor,0.7560975609756098,0.6595744680851063,0.7045454545454546,235.0,-0.002937538651824334
lexical_cues_top10_control_seed5,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
lexical_cues_top25_control_seed5,Against,0.8290598290598291,0.8818181818181818,0.8546255506607929,440.0,0.001262816371928599
lexical_cues_top25_control_seed5,Favor,0.7549019607843137,0.6553191489361702,0.7015945330296127,235.0,-0.0058884601676661985
lexical_cues_top25_control_seed5,Neither,0.6376146788990825,0.6465116279069767,0.6420323325635104,215.0,-0.0014861859550080458
