condition,class,precision,recall,f1,support,delta_f1
original,Against,0.9113082039911308,0.9340909090909091,0.9225589225589226,440.0,0.0
original,Favor,0.8008849557522124,0.7702127659574468,0.7852494577006508,235.0,0.0
original,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
target_masked,Against,0.8407079646017699,0.8636363636363636,0.852017937219731,440.0,-0.07054098533919162
target_masked,Favor,0.7747747747747747,0.7319148936170212,0.7527352297592997,235.0,-0.03251422794135106
target_masked,Neither,0.6203703703703703,0.6232558139534884,0.6218097447795824,215.0,-0.10716221783724
candidate_mentions_masked,Against,0.9635036496350365,0.6,0.7394957983193278,440.0,-0.1830631242395948
candidate_mentions_masked,Favor,0.8769230769230769,0.2425531914893617,0.38,235.0,-0.4052494577006508
candidate_mentions_masked,Neither,0.37749546279491836,0.9674418604651163,0.5430809399477807,215.0,-0.18589102266904167
lexical_cues_top10_masked,Against,0.9092920353982301,0.9340909090909091,0.92152466367713,440.0,-0.001034258881792538
lexical_cues_top10_masked,Favor,0.8080357142857143,0.7702127659574468,0.7886710239651417,235.0,0.0034215662644908607
lexical_cues_top10_masked,Neither,0.7336448598130841,0.7302325581395349,0.7319347319347319,215.0,0.0029627693179095083
lexical_cues_top25_masked,Against,0.9072847682119205,0.9340909090909091,0.9204927211646137,440.0,-0.0020662013943089086
lexical_cues_top25_masked,Favor,0.8071748878923767,0.7659574468085106,0.7860262008733624,235.0,0.0007767431727115914
lexical_cues_top25_masked,Neither,0.7336448598130841,0.7302325581395349,0.7319347319347319,215.0,0.0029627693179095083
candidate_mentions_control_seed1,Against,0.9052863436123348,0.9340909090909091,0.9194630872483222,440.0,-0.0030958353106004255
candidate_mentions_control_seed1,Favor,0.8133971291866029,0.723404255319149,0.7657657657657657,235.0,-0.019483691934885083
candidate_mentions_control_seed1,Neither,0.7092511013215859,0.7488372093023256,0.7285067873303167,215.0,-0.0004651752865056924
lexical_cues_top10_control_seed1,Against,0.911504424778761,0.9363636363636364,0.9237668161434978,440.0,0.0012078935845751815
lexical_cues_top10_control_seed1,Favor,0.8044444444444444,0.7702127659574468,0.7869565217391304,235.0,0.0017070640384796443
lexical_cues_top10_control_seed1,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
lexical_cues_top25_control_seed1,Against,0.9070796460176991,0.9318181818181818,0.9192825112107623,440.0,-0.0032764113481602575
lexical_cues_top25_control_seed1,Favor,0.7964601769911505,0.7659574468085106,0.7809110629067245,235.0,-0.004338394793926281
lexical_cues_top25_control_seed1,Neither,0.7358490566037735,0.7255813953488373,0.7306791569086651,215.0,0.0017071942918427396
candidate_mentions_control_seed2,Against,0.9022222222222223,0.9227272727272727,0.9123595505617977,440.0,-0.01019937199712484
candidate_mentions_control_seed2,Favor,0.8027522935779816,0.7446808510638298,0.7726269315673289,235.0,-0.012622526133321932
candidate_mentions_control_seed2,Neither,0.7162162162162162,0.7395348837209302,0.7276887871853547,215.0,-0.0012831754314677202
lexical_cues_top10_control_seed2,Against,0.911504424778761,0.9363636363636364,0.9237668161434978,440.0,0.0012078935845751815
lexical_cues_top10_control_seed2,Favor,0.8044444444444444,0.7702127659574468,0.7869565217391304,235.0,0.0017070640384796443
lexical_cues_top10_control_seed2,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
lexical_cues_top25_control_seed2,Against,0.911504424778761,0.9363636363636364,0.9237668161434978,440.0,0.0012078935845751815
lexical_cues_top25_control_seed2,Favor,0.8044444444444444,0.7702127659574468,0.7869565217391304,235.0,0.0017070640384796443
lexical_cues_top25_control_seed2,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
candidate_mentions_control_seed3,Against,0.909706546275395,0.9159090909090909,0.912797281993205,440.0,-0.0097616405657176
candidate_mentions_control_seed3,Favor,0.793859649122807,0.7702127659574468,0.7818574514038877,235.0,-0.0033920062967630615
candidate_mentions_control_seed3,Neither,0.7168949771689498,0.7302325581395349,0.7235023041474654,215.0,-0.005469658469356986
lexical_cues_top10_control_seed3,Against,0.9092920353982301,0.9340909090909091,0.92152466367713,440.0,-0.001034258881792538
lexical_cues_top10_control_seed3,Favor,0.8035714285714286,0.7659574468085106,0.7843137254901961,235.0,-0.0009357322104547316
lexical_cues_top10_control_seed3,Neither,0.7336448598130841,0.7302325581395349,0.7319347319347319,215.0,0.0029627693179095083
lexical_cues_top25_control_seed3,Against,0.9094922737306843,0.9363636363636364,0.9227323628219485,440.0,0.00017344026302590354
lexical_cues_top25_control_seed3,Favor,0.8080357142857143,0.7702127659574468,0.7886710239651417,235.0,0.0034215662644908607
lexical_cues_top25_control_seed3,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
candidate_mentions_control_seed4,Against,0.9086859688195991,0.9272727272727272,0.9178852643419573,440.0,-0.004673658216965304
